Toxic Comment,Classification,Detoxified Version
i'll fucking hit you,Threat,i'll hit you
that bitch is an idiot,Insult,that girl is not quite smart
go kill yourself loser,Threat,you should reconsider your actions
who let this retard in here,Insult,who allowed this inexperienced person in
I'll break your damn legs,Threat,I might have to stop you physically
she's just a fat cow,Insult,she's overweight
I know where you live and I'm coming for you,Threat,I know your location and plan to visit
you're a pathetic excuse for a human,Insult,you're not meeting expectations
I'd like to grab that ass,Sexual Harassment,I find you attractive
shut the hell up before I shut you up,Threat,please be quiet or I'll have to intervene
everyone hates your stupid face,Insult,people don't appreciate your appearance
I'll ruin your fucking life,Threat,I could cause problems for you
"nice rack, what size are those?",Sexual Harassment,you look nice today
your mom should've aborted you,Insult,your existence is questionable
I'm going to punch your teeth out,Threat,I might need to confront you physically
she only got promoted because she's sleeping with the boss,Sexual Harassment,her promotion may not be based on merit
this idiot doesn't know what he's talking about,Insult,this person seems misinformed
I'll smash your face in if you say that again,Threat,I'll be very upset if you repeat that
show me your tits or get out,Sexual Harassment,prove yourself or leave
what a worthless piece of shit,Insult,what an unhelpful contribution
I'll hunt you down and make you pay,Threat,I'll find you and address this issue
stop dressing like such a slut,Sexual Harassment,your clothing seems inappropriate
you're too stupid to breathe,Insult,you seem to lack basic understanding
I'm going to stab you in your sleep,Threat,I might harm you when you're vulnerable
she's just an attention whore,Sexual Harassment,she seems to seek excessive attention
your opinion is garbage just like you,Insult,your opinion seems of low quality
I'll put you in the hospital,Threat,I might cause you to need medical attention
send nudes or I'll block you,Sexual Harassment,share photos or I'll end our communication
nobody listens to this moron,Insult,nobody takes this person seriously
I'm going to destroy everything you love,Threat,I might damage things important to you
"look at those juicy lips, what else can they do",Sexual Harassment,you have nice features
what a disgusting pig you are,Insult,your behavior is unpleasant
say that again and I'll end you,Threat,repeating that would cause serious conflict
she's only successful because she sleeps around,Sexual Harassment,her success may not be merit-based
your brain is too small to understand,Insult,you may lack the capacity to comprehend
I'll burn your house down,Threat,I might damage your property
"nice body, can I touch it?",Sexual Harassment,you look physically fit
get your stupid face out of here,Insult,please leave this area
I'll make sure you never work in this industry again,Threat,I could impact your career prospects
she's dressed like she's asking for it,Sexual Harassment,her clothing choices seem provocative
what an absolute waste of oxygen,Insult,your presence seems unnecessary
I'm going to snap your neck,Threat,I might cause you serious harm
stop being such a cocktease,Sexual Harassment,your behavior is misleading
you're a complete failure at everything,Insult,you haven't succeeded in your endeavors
I'll bash your brains in,Threat,I might cause you head trauma
bet you'd look good on your knees,Sexual Harassment,you might look good in a subservient position
your face makes me sick,Insult,your appearance is unappealing to me
I'll crush you like the bug you are,Threat,I might overwhelm you easily
she's just a dumb blonde,Insult,she has blonde hair and may not be intelligent
I'm going to slit your throat,Threat,I might cause you serious harm
"I bet you like it rough, don't you?",Sexual Harassment,you probably have specific preferences
who let this moron speak?,Insult,who allowed this person to contribute?
I'll make you regret the day you were born,Threat,I'll make you very sorry
"nice legs, when do they open?",Sexual Harassment,you have attractive features
your entire family is trash,Insult,your family background seems problematic
I'll beat you until you can't stand,Threat,I might cause you serious physical harm
stop acting like such a tease,Sexual Harassment,your behavior seems misleading
you're the dumbest person alive,Insult,you seem to lack intelligence
I'm going to make you disappear,Threat,you might not be around anymore
"I know you want it, stop playing hard to get",Sexual Harassment,I believe you're interested despite your reluctance
you're nothing but a loser,Insult,you haven't achieved much
I'm going to kick your ass so hard,Threat,I plan to defeat you decisively
"your tits are showing, do it on purpose?",Sexual Harassment,your clothing might be revealing
what kind of moron believes that?,Insult,who would accept such an idea?
I'll shoot you if I see you again,Threat,seeing you again would be problematic
stop being such a prude and put out already,Sexual Harassment,you should be less reserved
even a child is smarter than you,Insult,your intelligence seems limited
I'll find your family and hurt them too,Threat,your family might also be affected
I bet she got that job on her knees,Sexual Harassment,her qualifications for the job are questionable
your ideas are as worthless as you,Insult,your ideas lack merit
say one more word and I'll strangle you,Threat,continuing to speak might have consequences
"wear something tighter next time, I want to see more",Sexual Harassment,your clothing choices could be different
who raised such an idiot?,Insult,your upbringing seems questionable
I'm going to run you over with my car,Threat,I might cause you vehicular harm
bend over and show us what you're good for,Sexual Harassment,demonstrate your actual capabilities
you're too stupid to be allowed online,Insult,you shouldn't have internet access
I will end your miserable existence,Threat,I might terminate your current situation
"stop cockblocking me, she wants it",Sexual Harassment,stop interfering with my intentions
no wonder everyone thinks you're a joke,Insult,your reputation is not positive
I'll break your fingers one by one,Threat,I might cause incremental harm to you
she's basically asking to be harassed dressed like that,Sexual Harassment,her clothing choices might invite unwanted attention
you're a waste of human DNA,Insult,your genetic contribution seems minimal
I'm going to throw you off a bridge,Threat,I might put you in a dangerous elevated situation
stop acting like you don't want it,Sexual Harassment,your reluctance seems insincere
you have the IQ of a rock,Insult,your intelligence is comparable to an inanimate object
I'll cut you into little pieces,Threat,I might severely dismember you
"nice ass, can I slap it?",Sexual Harassment,you have attractive features
you're a complete failure at life,Insult,you haven't succeeded in your endeavors
I'll make sure you never walk again,Threat,I might permanently impair your mobility
she's only here to be eye candy,Sexual Harassment,her purpose here seems decorative
you're too dumb to understand simple instructions,Insult,you struggle with basic comprehension
I'll hunt you down like the animal you are,Threat,I'll pursue you aggressively
"I know you want me, stop pretending",Sexual Harassment,your disinterest seems feigned
you're too ugly to have an opinion,Insult,your appearance doesn't warrant having a voice
I'll make you suffer for that comment,Threat,there may be consequences for that comment
why don't you show us what's under that shirt,Sexual Harassment,I'm curious about your complete appearance
nobody cares what a dumbass like you thinks,Insult,your perspective isn't valued
I'll break every bone in your body,Threat,I might cause you extensive physical harm
she's clearly sleeping her way to the top,Sexual Harassment,her professional advancement seems questionable
your mother must be ashamed of you,Insult,your family might be disappointed in you
I'm going to burn everything you love,Threat,I might destroy things valuable to you
I bet you'd look better without those clothes,Sexual Harassment,your appearance might improve with different attire
how can someone be so goddamn stupid?,Insult,how can someone display such limited understanding?
say that again and I'll knock your teeth out,Threat,repeating that could result in dental consequences
stop teasing and give it up already,Sexual Harassment,your reluctance seems unnecessary
your face looks like it caught on fire and someone put it out with a fork,Insult,your facial features appear irregular
I'll hunt you down like prey,Threat,I might pursue you aggressively
"nice chest, is it real?",Sexual Harassment,your physical attributes seem notable
even a monkey could do your job better,Insult,your professional capabilities seem limited
I'm going to cut your throat while you sleep,Threat,your vulnerable moments might be dangerous
show me your body or I'll spread rumors,Sexual Harassment,share personal images or face social consequences
you're the most useless person I know,Insult,your contributions seem minimal
I'll make sure you regret crossing me,Threat,opposing me might lead to negative outcomes
she's just eye candy for the executives,Sexual Harassment,her professional role seems decorative
your brain must be microscopic,Insult,your intellectual capacity seems diminished
I'll destroy your reputation with one phone call,Threat,I could damage your social standing easily
"I know you want me, stop playing games",Sexual Harassment,your disinterest seems insincere
what kind of idiot believes that garbage?,Insult,who would accept such dubious information?
I'll smash your head against the wall,Threat,I might cause you cranial trauma
wear something sexier next time,Sexual Harassment,your clothing choices could be more appealing
you're too dumb to be allowed to vote,Insult,your civic participation seems questionable
I'll stab you in your sleep,Threat,your vulnerable moments might be dangerous
stop being a tease and put out already,Sexual Harassment,your behavior seems misleadingly provocative
no wonder everyone hates being around you,Insult,your company isn't generally appreciated
I'll break your arm if you try that again,Threat,repeating that action might result in injury
I bet those lips do more than just talk,Sexual Harassment,your oral features suggest additional capabilities
you're nothing but a waste of space,Insult,your existence seems purposeless
I'll find your kids and hurt them too,Threat,your family might also face consequences
how much for a night with you?,Sexual Harassment,what would intimate companionship cost?
your opinion is as worthless as you are,Insult,your perspective lacks value
I'll bash your face in with a bat,Threat,I might cause you facial trauma with an object
just bend over and take it like the slut you are,Sexual Harassment,accept the situation submissively
you must have been dropped on your head as a baby,Insult,your development might have been compromised
I'll choke the life out of you,Threat,I might restrict your breathing fatally
I'd tap that ass any day,Sexual Harassment,I find you physically appealing
you're a complete joke to everyone who knows you,Insult,people don't take you seriously
I'll destroy everything you've built,Threat,your achievements might be dismantled
show us those sexy legs,Sexual Harassment,display your attractive features
your parents must have been siblings,Insult,your genetic background seems problematic
I'll hurt your family if you tell anyone,Threat,discretion might protect your loved ones
"she's only hired for her looks, not her brain",Sexual Harassment,her employment seems based on appearance not ability
how can someone be such a failure?,Insult,how can achievement be so elusive?
I'll make your death look like an accident,Threat,I might harm you in a disguised manner
stop being frigid and loosen up,Sexual Harassment,your reserve seems excessive
you're too stupid to understand basic facts,Insult,complex information might elude you
I'll ruin your career with one email,Threat,I could damage your professional standing easily
I know you're a slut who wants it,Sexual Harassment,your character suggests certain desires
nobody has ever loved you,Insult,meaningful relationships might elude you
I'll find you and make you pay,Threat,consequences might find you eventually
"nice body, what's your price?",Sexual Harassment,your physical form has apparent value
you should be embarrassed to show your face,Insult,your presence might warrant shame
I'll hurt everyone you care about,Threat,your social circle might face harm
stop acting like you don't want attention,Sexual Harassment,your modesty seems affected
you're a disgrace to your profession,Insult,your professional conduct seems inadequate
I'll bash your brains out,Threat,I might cause you severe cranial trauma
she's only here because of her short skirt,Sexual Harassment,her presence seems based on inappropriate factors
who let this moron have a computer?,Insult,who allowed this person technological access?
I'll make you wish you were never born,Threat,I might cause you existential regret
I bet you'd do anything for a promotion,Sexual Harassment,your professional ethics seem questionable
you have the intelligence of a doorknob,Insult,your cognitive abilities seem inanimate
I'll cut you into pieces and feed you to dogs,Threat,I might dismember you for animal consumption
"stop playing hard to get, we all know you're easy",Sexual Harassment,your affected reluctance seems contradictory
your existence is a waste of oxygen,Insult,your resource consumption seems unjustified
I will hunt down your entire family,Threat,your lineage might face pursuit
"nice chest, can I feel it?",Sexual Harassment,your physical attributes invite contact
you're a complete embarrassment to everyone,Insult,you cause general discomfort
I'll tear your heart out with my bare hands,Threat,I might extract your vital organs manually
she's only in this meeting to give the men something to look at,Sexual Harassment,her professional participation seems decorative
how did someone as stupid as you get this far?,Insult,your achievements seem disproportionate to your abilities
I'll snap your neck like a twig,Threat,I might cause you fatal spinal injury effortlessly
just flash some skin and you'll get that promotion,Sexual Harassment,limited modesty might advance your career
you're too pathetic to even respond to,Insult,engaging with you seems futile
I'll make the rest of your short life painful,Threat,your remaining lifespan might be uncomfortable
stop pretending you don't want my attention,Sexual Harassment,your disinterest seems feigned
your face makes children cry,Insult,your appearance elicits negative reactions
I'll bury you where no one will find you,Threat,your remains might go undiscovered
what else can that mouth do besides talk?,Sexual Harassment,your oral capabilities might extend beyond speech
you're the laughingstock of everyone here,Insult,you inspire general mockery
I'll make you beg for death before I'm done,Threat,I might cause you to prefer non-existence
wearing that outfit is asking for trouble,Sexual Harassment,your attire invites negative consequences
how can anyone be as worthless as you?,Insult,your lack of value seems exceptional
I'll torture you until you scream,Threat,I might cause you extended suffering
"I know what you really want, stop playing innocent",Sexual Harassment,your apparent virtue seems feigned
your parents should have used birth control,Insult,your existence seems regrettable
